step,filter,seed,graph_degree,n_nodes,slab,n_slab,J,L,cells,xdeg,cv2,ari
0,knn_k1,0,3.38,100,5,132,10,10,15,1.5,0.49965564738292007,0.8030351556158596
0,knn_k1,0,3.38,100,6,131,10,10,21,2.1,0.7902802866965796,0.6781613296233721
0,knn_k1,0,3.38,100,7,131,10,10,23,2.3,0.6123186294504981,0.5106872337246628
0,knn_k1,0,3.38,100,8,131,10,10,21,2.1,0.5186177961657247,0.6090858412269416
0,knn_k1,1,3.18,100,0,131,10,10,18,1.8,0.36041023250393334,0.6126743045912129
0,knn_k1,1,3.18,100,1,131,10,10,16,1.6,0.28384126799137577,0.6876884360294443
0,knn_k1,1,3.18,100,2,131,10,10,14,1.4,0.22288910902628048,0.7676366504736027
0,knn_k1,1,3.18,100,3,132,10,10,16,1.6,0.5188246097337006,0.7750318692661443
0,knn_k1,1,3.18,100,4,132,10,10,19,1.9,0.5658861340679523,0.7120611067853634
0,knn_k1,1,3.18,100,5,132,10,10,16,1.6,0.5206611570247934,0.8256480386859566
0,knn_k1,1,3.18,100,6,131,10,10,20,2.0,0.5208903910028554,0.5996377778166598
0,knn_k1,1,3.18,100,7,131,10,10,19,1.9,0.6087057863760852,0.6866751426055802
0,knn_k1,1,3.18,100,8,131,10,10,21,2.1,0.48680146844589467,0.5979120272540434
0,knn_k1,2,3.16,100,0,131,10,10,18,1.8,0.6226327137113221,0.7087506565626982
0,knn_k1,2,3.16,100,1,131,10,10,17,1.7,0.3898374220616514,0.7383900441096121
0,knn_k1,2,3.16,100,2,131,10,10,13,1.3,0.25674494493327893,0.8626008161281489
0,knn_k1,2,3.16,100,3,132,10,10,16,1.6,0.3370064279155188,0.7193147292735158
0,knn_k1,2,3.16,100,4,132,10,10,16,1.6,0.29292929292929293,0.6938387061089679
0,knn_k1,2,3.16,100,5,132,10,10,15,1.5,0.5719696969696969,0.825526269078148
0,knn_k1,2,3.16,100,6,131,10,10,18,1.8,0.5576015383718897,0.7392118561294571
0,knn_k1,2,3.16,100,7,131,10,10,25,2.5,0.6330633412971273,0.4879200055956279
0,knn_k1,2,3.16,100,8,131,10,10,20,2.0,0.5232212575024765,0.6739900751900849
0,dtm_k10,0,3.44,100,0,131,10,10,19,1.9,0.5312044752636793,0.6198748086566589
0,dtm_k10,0,3.44,100,1,131,10,10,18,1.8,0.40026804964745644,0.5913670513090347
0,dtm_k10,0,3.44,100,2,131,10,10,17,1.7,0.4730493560981294,0.6822072811903747
0,dtm_k10,0,3.44,100,3,132,10,10,18,1.8,0.5289256198347108,0.7409222404943046
0,dtm_k10,0,3.44,100,4,132,10,10,22,2.2,0.6565656565656566,0.5981949374724485
0,dtm_k10,0,3.44,100,5,132,10,10,19,1.9,0.3565197428833792,0.5982659570145857
0,dtm_k10,0,3.44,100,6,131,10,10,22,2.2,0.23454344152438678,0.44844692846209744
0,dtm_k10,0,3.44,100,7,131,10,10,21,2.1,0.3962473049356098,0.531915181226682
0,dtm_k10,0,3.44,100,8,131,10,10,16,1.6,0.4236932579686499,0.7251825985278979
0,dtm_k10,1,3.34,100,0,131,10,10,16,1.6,0.33791737078258843,0.6947181003517617
0,dtm_k10,1,3.34,100,1,131,10,10,18,1.8,0.5911660159664355,0.7325209506389666
0,dtm_k10,1,3.34,100,2,131,10,10,15,1.5,0.5829497115552708,0.8798815374944231
