Dimension,K,Mean_Degree,CV_Degree
7,5,8.45,0.0167
7,6,9.59,0.0123
7,7,10.37,0.0104
7,8,11.0,0.014
7,9,11.5,0.0159
7,10,11.82,0.013
7,11,12.05,0.0162
7,12,12.21,0.0124
7,13,12.31,0.0117
7,14,12.35,0.0146
7,15,12.38,0.0115
7,16,12.31,0.0137
7,17,12.26,0.0119
7,18,12.18,0.0129
7,19,12.09,0.0151
7,20,11.97,0.0156
7,21,11.81,0.0156
7,22,11.76,0.014
7,23,11.54,0.0127
7,24,11.4,0.0114
7,25,11.28,0.0132
7,26,11.09,0.014
7,27,11.04,0.0162
7,28,10.82,0.0149
7,29,10.71,0.0128
7,30,10.61,0.0094
7,31,10.48,0.0157
7,32,10.31,0.016
7,33,10.25,0.0134
7,34,10.1,0.0159
7,35,10.0,0.0112
7,36,9.85,0.0166
7,37,9.75,0.0136
7,38,9.71,0.0183
7,39,9.57,0.0144
7,40,9.49,0.0134
7,41,9.42,0.0109
7,42,9.33,0.0158
7,43,9.23,0.0132
7,44,9.19,0.0134
7,45,9.09,0.0151
7,46,9.03,0.0145
7,47,8.99,0.0124
7,48,8.95,0.0143
7,49,8.86,0.0182
8,1,1.8,0.0
8,2,3.54,0.0188
8,3,5.36,0.0122
8,4,7.12,0.0102
8,5,8.68,0.0132
8,6,10.02,0.0108
8,7,11.0,0.0091
8,8,11.8,0.013
8,9,12.5,0.0106
8,10,13.01,0.0129
8,11,13.36,0.0111
8,12,13.62,0.0157
8,13,13.77,0.0139
8,14,13.97,0.0113
8,15,14.02,0.0138
8,16,14.08,0.0128
8,17,14.09,0.0141
8,18,14.02,0.0105
8,19,14.05,0.0127
8,20,13.93,0.0137
8,21,13.8,0.0142
8,22,13.8,0.0128
8,23,13.67,0.0095
8,24,13.53,0.0124
8,25,13.36,0.0135
8,26,13.27,0.0141
8,27,13.17,0.0127
8,28,13.01,0.015
8,29,12.85,0.0129
8,30,12.8,0.0123
8,31,12.58,0.0131
8,32,12.47,0.0096
8,33,12.35,0.0129
8,34,12.18,0.0136
8,35,12.09,0.0137
8,36,12.0,0.0129
8,37,11.86,0.0118
8,38,11.73,0.0137
8,39,11.63,0.0111
8,40,11.52,0.019
8,41,11.3,0.0119
8,42,11.26,0.0136
8,43,11.13,0.0106
8,44,11.1,0.0124
8,45,10.91,0.0132
8,46,10.77,0.0123
8,47,10.73,0.0146
8,48,10.63,0.0148
8,49,10.54,0.012
9,1,1.78,0.0337
9,2,3.54,0.0237
