Dimension,K,Mean_Degree,CV_Degree
45,7,12.59,0.0014
45,8,14.34,0.0025
45,9,16.08,0.0028
45,10,17.69,0.0041
45,11,19.26,0.0049
45,12,20.69,0.0048
45,13,21.96,0.0061
45,14,23.17,0.005
45,15,24.23,0.0059
45,16,25.07,0.0068
45,17,25.79,0.0074
45,18,26.51,0.0071
45,19,26.98,0.0097
45,20,27.42,0.0062
45,21,27.79,0.0085
45,22,28.02,0.0095
45,23,28.21,0.008
45,24,28.37,0.0065
45,25,28.42,0.0096
45,26,28.37,0.0094
45,27,28.37,0.0085
45,28,28.36,0.0099
45,29,28.24,0.0079
45,30,28.13,0.0093
45,31,27.97,0.008
45,32,27.81,0.0085
45,33,27.58,0.0089
45,34,27.41,0.0082
45,35,27.13,0.0088
45,36,27.03,0.0063
45,37,26.7,0.0094
45,38,26.51,0.0081
45,39,26.26,0.0049
45,40,26.01,0.0084
45,41,25.67,0.0083
45,42,25.51,0.0069
45,43,25.16,0.0074
45,44,24.98,0.0075
45,45,24.77,0.007
45,46,24.41,0.0077
45,47,24.24,0.0069
45,48,24.0,0.0064
45,49,23.68,0.0074
46,1,1.77,0.0383
46,2,3.58,0.0139
46,3,5.4,0.0
46,4,7.2,0.0
46,5,9.0,0.0008
46,6,10.8,0.0
46,7,12.59,0.0015
46,8,14.36,0.0018
46,9,16.08,0.003
46,10,17.72,0.003
46,11,19.31,0.0041
46,12,20.73,0.0054
46,13,22.06,0.005
46,14,23.19,0.0067
46,15,24.23,0.0077
46,16,25.08,0.0063
46,17,25.86,0.0066
46,18,26.47,0.0094
46,19,27.0,0.0088
46,20,27.58,0.0097
46,21,27.9,0.0072
46,22,28.12,0.0078
46,23,28.3,0.0091
46,24,28.45,0.0086
46,25,28.48,0.0072
46,26,28.46,0.0067
46,27,28.46,0.0073
46,28,28.37,0.0075
46,29,28.35,0.0091
46,30,28.26,0.0084
46,31,28.09,0.0091
46,32,27.83,0.0075
46,33,27.75,0.0078
46,34,27.58,0.007
46,35,27.3,0.008
46,36,27.09,0.0073
46,37,26.8,0.006
46,38,26.65,0.0065
46,39,26.33,0.0072
46,40,26.07,0.0077
46,41,25.83,0.0075
46,42,25.48,0.0075
46,43,25.33,0.0071
46,44,25.15,0.009
46,45,24.74,0.0068
46,46,24.53,0.0077
46,47,24.34,0.006
46,48,24.05,0.0065
46,49,23.73,0.0076
47,1,1.78,0.0337
47,2,3.58,0.0112
47,3,5.4,0.0
47,4,7.2,0.0
47,5,9.0,0.0
47,6,10.8,0.0008
47,7,12.59,0.0013
47,8,14.36,0.0023
47,9,16.07,0.0024
47,10,17.73,0.004
47,11,19.28,0.0058
47,12,20.75,0.0048
47,13,22.05,0.0065
47,14,23.2,0.0057
47,15,24.27,0.0067
47,16,25.16,0.0057
47,17,25.96,0.0067
47,18,26.67,0.0061
47,19,27.16,0.0089
47,20,27.6,0.0083
47,21,27.95,0.0064
47,22,28.21,0.0081
47,23,28.36,0.0078
47,24,28.5,0.0084
47,25,28.6,0.0081
47,26,28.56,0.0076
47,27,28.53,0.006
47,28,28.51,0.0069
47,29,28.47,0.0064
47,30,28.39,0.0077
47,31,28.13,0.0056
47,32,28.04,0.0069
47,33,27.8,0.0083
47,34,27.61,0.0076
47,35,27.4,0.007
47,36,27.17,0.0076
47,37,26.92,0.0069
47,38,26.69,0.0087
47,39,26.45,0.0093
47,40,26.2,0.0078
47,41,26.0,0.0066
47,42,25.63,0.0083
47,43,25.46,0.0075
47,44,25.13,0.0085
47,45,24.95,0.0085
47,46,24.65,0.0067
47,47,24.32,0.0048
47,48,24.12,0.0073
47,49,23.81,0.0072
48,1,1.77,0.0513
48,2,3.55,0.0174
48,3,5.4,0.0
48,4,7.2,0.0
48,5,9.0,0.0
48,6,10.8,0.0006
48,7,12.59,0.001
48,8,14.36,0.0025
48,9,16.07,0.0033
48,10,17.74,0.0041
48,11,19.3,0.0039
48,12,20.77,0.0059
48,13,22.11,0.0065
48,14,23.27,0.0044
48,15,24.28,0.006
48,16,25.22,0.0087
48,17,26.02,0.007
48,18,26.73,0.0081
48,19,27.25,0.0064
48,20,27.69,0.007
48,21,28.04,0.008
48,22,28.24,0.0063
48,23,28.57,0.0097
48,24,28.58,0.0074
48,25,28.72,0.0097
48,26,28.7,0.0088
48,27,28.75,0.0082
48,28,28.64,0.0065
48,29,28.49,0.0077
48,30,28.4,0.0074
48,31,28.26,0.0068
48,32,28.11,0.0083
48,33,27.93,0.0086
48,34,27.63,0.0073
48,35,27.45,0.0075
48,36,27.27,0.0092
48,37,27.01,0.0083
48,38,26.76,0.0049
48,39,26.53,0.0065
48,40,26.26,0.0075
48,41,26.03,0.0075
48,42,25.79,0.0091
48,43,25.5,0.0079
48,44,25.22,0.007
48,45,24.92,0.0086
48,46,24.67,0.0077
48,47,24.41,0.007
48,48,24.15,0.0073
48,49,23.9,0.0059
49,1,1.78,0.0337
49,2,3.57,0.0147
49,3,5.4,0.0
49,4,7.2,0.0
49,5,9.0,0.0
49,6,10.8,0.0
49,7,12.59,0.0015
49,8,14.36,0.0027
49,9,16.11,0.0028
49,10,17.76,0.0042
49,11,19.35,0.0037
49,12,20.78,0.0053
49,13,22.11,0.0066
49,14,23.32,0.0073
49,15,24.33,0.0077
49,16,25.28,0.0069
49,17,26.05,0.0086
49,18,26.73,0.0069
49,19,27.35,0.0097
49,20,27.77,0.0089
49,21,28.07,0.0085
49,22,28.31,0.0065
49,23,28.5,0.0092
49,24,28.59,0.0078
49,25,28.76,0.0083
49,26,28.8,0.0089
49,27,28.72,0.009
49,28,28.71,0.0086
49,29,28.69,0.0078
49,30,28.44,0.0068
49,31,28.28,0.0069
49,32,28.16,0.0065
49,33,28.03,0.0079
49,34,27.76,0.0077
49,35,27.59,0.0084
49,36,27.3,0.0079
49,37,27.11,0.007
49,38,26.83,0.0074
49,39,26.61,0.0084
49,40,26.39,0.0075
49,41,26.1,0.0064
49,42,25.83,0.0055
49,43,25.57,0.0085
49,44,25.3,0.006
49,45,25.06,0.0068
49,46,24.76,0.0071
49,47,24.48,0.0075
49,48,24.21,0.0068
49,49,24.0,0.0064
50,1,1.79,0.02
50,2,3.58,0.0104
50,3,5.4,0.0
50,4,7.2,0.0
50,5,9.0,0.0
50,6,10.8,0.0
50,7,12.6,0.0008
50,8,14.37,0.0016
50,9,16.09,0.0033
50,10,17.77,0.0031
50,11,19.34,0.0047
50,12,20.78,0.0047
50,13,22.18,0.0069
50,14,23.32,0.006
50,15,24.38,0.0067
50,16,25.32,0.0077
50,17,26.12,0.0058
50,18,26.72,0.0059
50,19,27.38,0.0071
50,20,27.82,0.0101
50,21,28.19,0.0058
50,22,28.43,0.0099
50,23,28.66,0.0081
50,24,28.83,0.0064
50,25,28.88,0.0048
50,26,28.94,0.0069
50,27,28.98,0.0072
50,28,28.81,0.0068
50,29,28.71,0.0069
50,30,28.6,0.0079
50,31,28.49,0.0085
50,32,28.32,0.0086
50,33,28.17,0.0075
50,34,27.84,0.007
50,35,27.65,0.0075
50,36,27.39,0.01
50,37,27.15,0.0068
50,38,27.02,0.0081
50,39,26.72,0.0069
50,40,26.4,0.006
50,41,26.15,0.0075
50,42,25.87,0.0069
50,43,25.6,0.0091
50,44,25.34,0.0069
50,45,25.04,0.0087
50,46,24.76,0.0084
50,47,24.6,0.0064
50,48,24.29,0.0058
50,49,24.08,0.007
51,1,1.8,0.0
51,2,3.56,0.0135
51,3,5.4,0.0
51,4,7.2,0.0
51,5,9.0,0.0
51,6,10.8,0.0006
51,7,12.59,0.0013
51,8,14.38,0.0014
51,9,16.11,0.0025
51,10,17.77,0.0037
51,11,19.36,0.0046
51,12,20.79,0.0058
51,13,22.18,0.0044
51,14,23.35,0.0056
51,15,24.46,0.0071
51,16,25.4,0.0059
51,17,26.19,0.0063
51,18,26.81,0.0067
51,19,27.44,0.0096
51,20,27.92,0.0065
51,21,28.29,0.0064
51,22,28.52,0.0092
51,23,28.6,0.0092
51,24,28.86,0.0064
51,25,28.95,0.0083
51,26,28.96,0.007
51,27,28.86,0.0073
51,28,28.9,0.0083
51,29,28.79,0.0082
51,30,28.74,0.0082
51,31,28.5,0.0078
51,32,28.36,0.0074
51,33,28.09,0.0085
51,34,27.96,0.008
51,35,27.83,0.0081
51,36,27.47,0.0064
51,37,27.27,0.0082
51,38,26.95,0.0079
51,39,26.77,0.0072
51,40,26.52,0.0074
51,41,26.15,0.0076
51,42,25.95,0.0059
51,43,25.68,0.0089
51,44,25.44,0.008
51,45,25.17,0.0065
51,46,24.91,0.0071
51,47,24.61,0.0067
51,48,24.42,0.0062
51,49,24.15,0.0069
52,1,1.79,0.0279
52,2,3.58,0.0104
52,3,5.4,0.0
52,4,7.2,0.0
52,5,9.0,0.0
52,6,10.8,0.0
52,7,12.59,0.0011
52,8,14.37,0.0019
52,9,16.1,0.0025
52,10,17.78,0.0028
52,11,19.36,0.0041
52,12,20.85,0.0044
52,13,22.14,0.0064
52,14,23.44,0.0065
52,15,24.42,0.0063
52,16,25.34,0.0077
52,17,26.21,0.0062
52,18,26.9,0.0091
52,19,27.47,0.008
52,20,27.92,0.0091
52,21,28.28,0.0086
52,22,28.48,0.0057
52,23,28.71,0.0086
52,24,28.88,0.0075
52,25,29.04,0.0082
52,26,29.05,0.0094
52,27,29.02,0.0057
52,28,28.93,0.007
52,29,28.78,0.008
52,30,28.71,0.0072
52,31,28.6,0.0073
52,32,28.43,0.0069
52,33,28.22,0.0093
52,34,28.04,0.0088
52,35,27.79,0.0052
52,36,27.6,0.0075
52,37,27.29,0.0074
52,38,27.11,0.0068
52,39,26.82,0.0075
52,40,26.58,0.008
52,41,26.33,0.0069
52,42,26.04,0.0072
52,43,25.79,0.0074
52,44,25.53,0.0065
52,45,25.26,0.0066
52,46,24.99,0.0063
52,47,24.7,0.0075
52,48,24.42,0.0076
52,49,24.17,0.0087
53,1,1.79,0.02
53,2,3.56,0.0135
53,3,5.4,0.0
53,4,7.2,0.0
53,5,9.0,0.0
53,6,10.8,0.0
53,7,12.59,0.0011
53,8,14.37,0.0027
53,9,16.12,0.0029
53,10,17.78,0.0031
53,11,19.34,0.0045
53,12,20.85,0.0051
53,13,22.21,0.0065
53,14,23.45,0.0051
53,15,24.53,0.0058
53,16,25.5,0.0072
53,17,26.32,0.0068
53,18,27.0,0.009
53,19,27.55,0.0073
53,20,27.97,0.0087
53,21,28.4,0.0075
53,22,28.64,0.0069
53,23,28.94,0.0083
53,24,28.96,0.0092
53,25,29.07,0.0069
53,26,29.12,0.0078
53,27,29.11,0.0088
53,28,29.03,0.0094
53,29,28.95,0.0072
53,30,28.82,0.0082
53,31,28.79,0.009
53,32,28.52,0.0087
53,33,28.35,0.0077
53,34,28.1,0.0073
53,35,27.86,0.0077
53,36,27.66,0.0078
53,37,27.38,0.0085
53,38,27.18,0.009
53,39,26.91,0.008
53,40,26.65,0.0067
53,41,26.42,0.0076
53,42,26.07,0.007
53,43,25.8,0.0068
53,44,25.59,0.0063
53,45,25.33,0.0088
53,46,25.0,0.0083
53,47,24.8,0.0068
53,48,24.47,0.0063
53,49,24.24,0.0065
54,1,1.77,0.0422
54,2,3.58,0.0112
54,3,5.4,0.0
54,4,7.2,0.0
54,5,9.0,0.0
54,6,10.8,0.0
54,7,12.6,0.0008
54,8,14.37,0.0016
54,9,16.1,0.0033
54,10,17.8,0.0036
54,11,19.4,0.0039
54,12,20.88,0.005
54,13,22.25,0.0055
54,14,23.48,0.0062
54,15,24.53,0.007
54,16,25.51,0.006
54,17,26.33,0.0064
54,18,26.97,0.006
54,19,27.62,0.0066
54,20,28.04,0.0078
54,21,28.44,0.0066
54,22,28.75,0.0066
54,23,28.87,0.0088
54,24,29.07,0.0069
54,25,29.17,0.0067
54,26,29.22,0.0086
54,27,29.14,0.0103
54,28,29.18,0.0068
54,29,29.0,0.0079
54,30,28.95,0.0076
54,31,28.71,0.0064
54,32,28.61,0.0073
54,33,28.39,0.0083
54,34,28.22,0.0078
54,35,27.95,0.0069
54,36,27.75,0.0061
54,37,27.46,0.0087
54,38,27.27,0.0061
54,39,26.95,0.0076
54,40,26.67,0.0079
54,41,26.43,0.0076
54,42,26.19,0.0065
54,43,25.87,0.0068
54,44,25.62,0.0067
54,45,25.32,0.0067
54,46,25.14,0.006
54,47,24.81,0.0064
54,48,24.6,0.0069
54,49,24.32,0.0081
55,1,1.79,0.02
55,2,3.56,0.0173
55,3,5.4,0.0
55,4,7.2,0.0
55,5,9.0,0.0
55,6,10.8,0.0009
55,7,12.6,0.001
55,8,14.38,0.0015
55,9,16.11,0.0026
55,10,17.81,0.0034
55,11,19.41,0.0039
55,12,20.88,0.0053
55,13,22.25,0.0051
55,14,23.44,0.0071
55,15,24.6,0.0067
55,16,25.49,0.0072
55,17,26.41,0.006
55,18,27.13,0.0057
55,19,27.61,0.0075
55,20,28.05,0.0056
55,21,28.46,0.0064
55,22,28.74,0.0077
55,23,29.01,0.0069
55,24,29.21,0.006
55,25,29.26,0.007
55,26,29.25,0.0087
55,27,29.26,0.0083
55,28,29.26,0.0078
55,29,29.05,0.0064
55,30,28.96,0.0072
55,31,28.84,0.009
55,32,28.6,0.0061
55,33,28.55,0.0095
55,34,28.16,0.0074
55,35,28.04,0.0075
55,36,27.74,0.0073
55,37,27.57,0.0077
55,38,27.28,0.0061
55,39,27.04,0.0085
55,40,26.83,0.0086
55,41,26.52,0.0066
55,42,26.22,0.0095
55,43,26.01,0.007
55,44,25.73,0.006
55,45,25.4,0.0092
55,46,25.14,0.0074
55,47,24.84,0.0075
55,48,24.62,0.0078
55,49,24.33,0.0074
56,1,1.8,0.0
56,2,3.58,0.0118
56,3,5.4,0.0
56,4,7.2,0.0
56,5,9.0,0.0
56,6,10.8,0.0
56,7,12.59,0.0011
56,8,14.37,0.0016
56,9,16.12,0.0024
56,10,17.79,0.0042
56,11,19.4,0.0044
56,12,20.92,0.0039
56,13,22.3,0.0047
56,14,23.51,0.0056
56,15,24.62,0.007
56,16,25.53,0.0076
56,17,26.43,0.0069
56,18,27.09,0.0072
56,19,27.82,0.0074
56,20,28.1,0.0078
56,21,28.58,0.0073
56,22,28.82,0.007
56,23,29.09,0.0063
56,24,29.18,0.0082
56,25,29.3,0.0089
56,26,29.34,0.0074
56,27,29.34,0.0068
56,28,29.22,0.0095
56,29,29.13,0.008
56,30,29.06,0.0074
56,31,28.93,0.008
56,32,28.7,0.0079
56,33,28.48,0.008
56,34,28.34,0.0071
56,35,28.11,0.0082
56,36,27.85,0.0082
56,37,27.62,0.0059
56,38,27.36,0.0056
56,39,27.1,0.0061
56,40,26.8,0.007
56,41,26.57,0.0082
56,42,26.28,0.0082
56,43,26.01,0.0068
56,44,25.76,0.0078
56,45,25.43,0.0089
56,46,25.24,0.0086
56,47,24.91,0.0075
56,48,24.67,0.0068
56,49,24.38,0.0061
57,1,1.79,0.0279
57,2,3.58,0.0118
57,3,5.4,0.0
57,4,7.2,0.0
57,5,9.0,0.0
57,6,10.8,0.0
57,7,12.59,0.0012
57,8,14.38,0.0017
57,9,16.13,0.0023
57,10,17.81,0.0034
57,11,19.42,0.0035
57,12,20.91,0.005
57,13,22.28,0.0054
57,14,23.55,0.0069
57,15,24.61,0.007
57,16,25.54,0.0058
57,17,26.46,0.0065
57,18,27.13,0.0055
57,19,27.75,0.0087
57,20,28.26,0.0082
57,21,28.65,0.0067
57,22,28.9,0.0087
57,23,29.03,0.0083
57,24,29.22,0.0068
57,25,29.39,0.0072
57,26,29.35,0.0089
57,27,29.34,0.0077
57,28,29.34,0.0076
57,29,29.21,0.0079
57,30,29.11,0.0079
57,31,28.9,0.0077
57,32,28.78,0.0065
57,33,28.61,0.0084
57,34,28.35,0.0073
57,35,28.18,0.0075
57,36,27.84,0.0066
57,37,27.71,0.0075
57,38,27.43,0.0087
57,39,27.21,0.0083
57,40,26.95,0.008
57,41,26.61,0.0062
57,42,26.36,0.0083
57,43,26.1,0.0065
57,44,25.8,0.0065
57,45,25.53,0.0048
57,46,25.27,0.0071
57,47,24.97,0.007
57,48,24.71,0.0083
57,49,24.44,0.0088
58,1,1.76,0.0541
58,2,3.57,0.0124
58,3,5.4,0.0
58,4,7.2,0.0
58,5,9.0,0.0
58,6,10.8,0.0008
58,7,12.59,0.001
58,8,14.38,0.0015
58,9,16.13,0.0027
58,10,17.81,0.0027
58,11,19.44,0.0031
58,12,20.95,0.0052
58,13,22.33,0.0057
58,14,23.55,0.0053
58,15,24.62,0.0062
58,16,25.68,0.0074
58,17,26.43,0.0065
58,18,27.19,0.0067
58,19,27.81,0.0064
58,20,28.3,0.0077
58,21,28.72,0.0071
58,22,29.01,0.0079
58,23,29.16,0.0078
58,24,29.33,0.0078
58,25,29.45,0.0096
58,26,29.49,0.007
58,27,29.47,0.0088
58,28,29.42,0.0078
58,29,29.3,0.006
58,30,29.15,0.0068
58,31,29.02,0.0069
58,32,28.82,0.0084
58,33,28.7,0.007
58,34,28.43,0.0066
58,35,28.16,0.0068
58,36,27.93,0.0071
58,37,27.71,0.0073
58,38,27.46,0.0084
58,39,27.26,0.0074
58,40,26.9,0.0088
58,41,26.66,0.0067
58,42,26.39,0.0071
58,43,26.13,0.0079
58,44,25.83,0.0067
58,45,25.54,0.007
58,46,25.29,0.0081
58,47,25.12,0.0091
58,48,24.8,0.0079
58,49,24.52,0.0073
59,1,1.77,0.0383
59,2,3.57,0.0193
59,3,5.4,0.0
59,4,7.2,0.0
59,5,9.0,0.0
59,6,10.8,0.0
59,7,12.6,0.0008
59,8,14.38,0.0014
59,9,16.13,0.0029
59,10,17.82,0.0033
59,11,19.42,0.0035
59,12,20.95,0.0059
59,13,22.34,0.0044
59,14,23.61,0.0056
59,15,24.65,0.0059
59,16,25.68,0.0065
59,17,26.5,0.0059
59,18,27.25,0.0065
59,19,27.8,0.0081
59,20,28.32,0.007
59,21,28.71,0.0076
59,22,29.1,0.0095
59,23,29.27,0.0055
59,24,29.37,0.0063
59,25,29.52,0.0085
59,26,29.46,0.0079
59,27,29.56,0.0081
59,28,29.52,0.0072
59,29,29.3,0.0072
59,30,29.21,0.0073
59,31,29.07,0.0082
59,32,28.92,0.008
59,33,28.73,0.0091
59,34,28.53,0.0058
59,35,28.34,0.0075
59,36,28.0,0.0081
59,37,27.75,0.0065
59,38,27.53,0.0074
59,39,27.23,0.0088
59,40,27.0,0.0076
59,41,26.74,0.0072
59,42,26.43,0.0076
59,43,26.2,0.0083
59,44,25.9,0.0089
59,45,25.56,0.0056
59,46,25.34,0.0066
59,47,25.12,0.0055
59,48,24.81,0.0078
59,49,24.59,0.0049
60,1,1.78,0.0337
60,2,3.57,0.0147
60,3,5.4,0.0
60,4,7.2,0.0
60,5,9.0,0.0
60,6,10.8,0.0
60,7,12.6,0.0008
60,8,14.38,0.0017
60,9,16.12,0.0027
60,10,17.84,0.0029
60,11,19.43,0.0037
60,12,20.98,0.0052
60,13,22.33,0.0048
60,14,23.67,0.0057
60,15,24.66,0.0065
60,16,25.7,0.007
60,17,26.58,0.0073
60,18,27.25,0.006
60,19,27.87,0.006
60,20,28.33,0.0084
60,21,28.76,0.0053
60,22,29.1,0.0072
60,23,29.38,0.0073
60,24,29.46,0.0084
60,25,29.52,0.0082
60,26,29.57,0.0058
60,27,29.58,0.0063
60,28,29.5,0.0078
60,29,29.49,0.0082
60,30,29.21,0.0067
60,31,29.2,0.0085
60,32,29.0,0.0066
60,33,28.89,0.008
60,34,28.56,0.0083
60,35,28.36,0.0087
60,36,28.12,0.0062
60,37,27.83,0.0092
60,38,27.6,0.0058
60,39,27.31,0.007
60,40,27.1,0.0057
60,41,26.73,0.0068
60,42,26.48,0.009
60,43,26.24,0.0069
60,44,25.94,0.0048
60,45,25.6,0.0077
60,46,25.41,0.0063
60,47,25.13,0.0072
60,48,24.84,0.0065
60,49,24.51,0.0078
61,1,1.79,0.0279
61,2,3.57,0.0151
61,3,5.4,0.0
61,4,7.2,0.0
61,5,9.0,0.0
61,6,10.8,0.0006
61,7,12.59,0.0011
61,8,14.38,0.0017
61,9,16.11,0.0023
61,10,17.84,0.003
61,11,19.47,0.0044
61,12,20.95,0.0043
61,13,22.33,0.006
61,14,23.62,0.0061
61,15,24.77,0.0068
61,16,25.72,0.0074
61,17,26.64,0.0072
61,18,27.34,0.0073
61,19,27.97,0.0077
61,20,28.42,0.0076
61,21,28.82,0.0071
61,22,29.14,0.0072
61,23,29.33,0.0074
61,24,29.48,0.005
61,25,29.59,0.0081
61,26,29.66,0.0077
61,27,29.6,0.0067
61,28,29.52,0.0062
61,29,29.51,0.0065
61,30,29.37,0.0078
61,31,29.16,0.0089
61,32,28.99,0.007
61,33,28.89,0.0086
61,34,28.57,0.0081
61,35,28.42,0.008
61,36,28.06,0.0071
61,37,27.96,0.0077
61,38,27.61,0.0077
61,39,27.37,0.0073
61,40,27.14,0.0085
61,41,26.9,0.0082
61,42,26.5,0.0074
61,43,26.25,0.0058
61,44,26.01,0.0074
61,45,25.74,0.007
61,46,25.43,0.0069
61,47,25.17,0.0067
61,48,24.9,0.0083
61,49,24.62,0.0059
62,1,1.79,0.0279
62,2,3.56,0.017
62,3,5.4,0.0
62,4,7.2,0.0
62,5,9.0,0.0
62,6,10.8,0.0
62,7,12.59,0.0011
62,8,14.38,0.0013
62,9,16.14,0.0023
62,10,17.83,0.0029
62,11,19.46,0.0032
62,12,20.99,0.0043
62,13,22.39,0.0058
62,14,23.61,0.0076
62,15,24.78,0.0055
62,16,25.82,0.0069
62,17,26.61,0.0079
62,18,27.38,0.0076
62,19,27.91,0.006
62,20,28.41,0.0089
62,21,28.9,0.0073
62,22,29.13,0.0077
62,23,29.45,0.0062
62,24,29.65,0.0089
62,25,29.62,0.0092
62,26,29.65,0.009
62,27,29.67,0.0076
62,28,29.65,0.0062
62,29,29.59,0.0072
62,30,29.38,0.0089
62,31,29.26,0.007
62,32,29.12,0.0068
62,33,28.93,0.0079
62,34,28.62,0.0083
62,35,28.4,0.0092
62,36,28.21,0.0076
62,37,27.89,0.0075
62,38,27.64,0.0065
62,39,27.4,0.007
62,40,27.13,0.0061
62,41,26.93,0.0094
62,42,26.58,0.0096
62,43,26.38,0.0078
62,44,26.05,0.0068
62,45,25.76,0.0095
62,46,25.5,0.0081
62,47,25.2,0.0064
62,48,24.95,0.0074
62,49,24.65,0.008
63,1,1.79,0.0279
63,2,3.58,0.0112
63,3,5.4,0.0
63,4,7.2,0.0
63,5,9.0,0.0
63,6,10.8,0.0
63,7,12.59,0.0045
63,8,14.38,0.0017
63,9,16.14,0.002
63,10,17.84,0.0024
63,11,19.46,0.0033
63,12,21.02,0.0042
63,13,22.37,0.0046
63,14,23.64,0.005
63,15,24.78,0.0057
63,16,25.82,0.0054
63,17,26.62,0.0076
63,18,27.42,0.0066
63,19,28.01,0.0074
63,20,28.5,0.0086
63,21,28.91,0.0065
63,22,29.25,0.0069
63,23,29.48,0.0074
63,24,29.55,0.0076
63,25,29.71,0.0077
63,26,29.72,0.0083
63,27,29.63,0.0081
63,28,29.71,0.0072
63,29,29.6,0.0072
63,30,29.46,0.0083
63,31,29.25,0.0091
63,32,29.15,0.008
63,33,28.88,0.0075
63,34,28.77,0.0085
63,35,28.59,0.0067
63,36,28.27,0.0082
63,37,28.01,0.0076
63,38,27.72,0.0078
63,39,27.49,0.0089
63,40,27.2,0.0075
63,41,26.89,0.0066
63,42,26.62,0.0091
63,43,26.39,0.0072
63,44,26.08,0.0065
63,45,25.83,0.0063
63,46,25.52,0.0064
63,47,25.28,0.0062
63,48,24.97,0.0061
63,49,24.67,0.005
64,1,1.77,0.0422
64,2,3.57,0.0176
64,3,5.4,0.0
64,4,7.2,0.0
64,5,9.0,0.0
64,6,10.8,0.0006
64,7,12.59,0.0012
64,8,14.38,0.0014
64,9,16.14,0.0024
64,10,17.84,0.003
64,11,19.48,0.0033
64,12,21.03,0.0043
64,13,22.4,0.0044
64,14,23.72,0.0064
64,15,24.85,0.0068
64,16,25.84,0.0045
64,17,26.68,0.0069
64,18,27.4,0.0084
64,19,28.08,0.0058
64,20,28.53,0.0065
64,21,28.92,0.0081
64,22,29.32,0.0066
64,23,29.54,0.0073
64,24,29.6,0.0072
64,25,29.72,0.0079
64,26,29.85,0.0075
64,27,29.88,0.0088
64,28,29.68,0.008
64,29,29.6,0.0077
64,30,29.43,0.0065
64,31,29.38,0.0076
64,32,29.19,0.0081
64,33,29.0,0.008
64,34,28.8,0.0078
64,35,28.52,0.007
64,36,28.3,0.0075
64,37,28.13,0.0074
64,38,27.83,0.0078
64,39,27.53,0.0069
64,40,27.19,0.0067
64,41,26.95,0.0081
64,42,26.73,0.0061
64,43,26.4,0.0071
64,44,26.07,0.0084
64,45,25.83,0.0057
64,46,25.57,0.0067
64,47,25.3,0.0066
64,48,24.95,0.0084
64,49,24.73,0.0072
65,1,1.77,0.0383
65,2,3.56,0.0172
65,3,5.4,0.0
65,4,7.2,0.0
65,5,9.0,0.0
65,6,10.8,0.0
65,7,12.59,0.0011
65,8,14.38,0.0014
65,9,16.13,0.0019
65,10,17.86,0.003
65,11,19.47,0.0033
65,12,20.99,0.0053
65,13,22.38,0.0047
65,14,23.72,0.0067
65,15,24.83,0.0071
65,16,25.88,0.0072
65,17,26.8,0.0042
65,18,27.49,0.0066
65,19,28.04,0.0063
65,20,28.58,0.0079
65,21,28.99,0.0076
65,22,29.3,0.0075
65,23,29.53,0.0068
65,24,29.7,0.0078
65,25,29.79,0.0093
65,26,29.87,0.0064
65,27,29.85,0.0061
65,28,29.76,0.007
65,29,29.71,0.0074
65,30,29.59,0.0069
65,31,29.42,0.0059
65,32,29.31,0.0064
65,33,29.03,0.0091
65,34,28.84,0.0088
65,35,28.64,0.0079
65,36,28.32,0.0077
65,37,28.09,0.0079
65,38,27.75,0.0073
65,39,27.6,0.0062
65,40,27.27,0.0066
65,41,27.05,0.0068
65,42,26.73,0.007
65,43,26.48,0.0083
65,44,26.18,0.0082
65,45,25.86,0.0089
65,46,25.59,0.0065
65,47,25.31,0.0069
65,48,25.02,0.0074
65,49,24.7,0.0056
66,1,1.79,0.0279
66,2,3.55,0.0189
66,3,5.4,0.0
66,4,7.2,0.0
66,5,9.0,0.0
66,6,10.8,0.0
66,7,12.6,0.001
66,8,14.39,0.0011
66,9,16.14,0.0019
66,10,17.83,0.0023
66,11,19.45,0.0041
66,12,20.96,0.0047
66,13,22.42,0.0045
66,14,23.74,0.0067
66,15,24.85,0.0054
66,16,25.88,0.0067
66,17,26.79,0.0059
66,18,27.51,0.0063
66,19,28.12,0.0068
66,20,28.69,0.008
66,21,29.08,0.0078
66,22,29.36,0.0098
66,23,29.6,0.0063
66,24,29.79,0.0076
66,25,29.85,0.0085
66,26,29.86,0.0074
66,27,29.86,0.0086
66,28,29.77,0.0072
66,29,29.74,0.0095
66,30,29.6,0.0067
66,31,29.49,0.0086
66,32,29.31,0.0077
66,33,29.04,0.0073
66,34,28.88,0.0073
66,35,28.62,0.0075
66,36,28.4,0.0082
66,37,28.13,0.0071
66,38,27.92,0.0074
66,39,27.58,0.0068
66,40,27.36,0.0067
66,41,27.08,0.0071
66,42,26.81,0.0078
66,43,26.59,0.0055
66,44,26.21,0.0069
66,45,25.95,0.0057
66,46,25.64,0.0074
66,47,25.41,0.0067
66,48,25.07,0.0071
66,49,24.8,0.0074
67,1,1.78,0.0337
67,2,3.58,0.0127
67,3,5.4,0.0
67,4,7.2,0.0
67,5,9.0,0.0
67,6,10.8,0.0006
67,7,12.59,0.001
67,8,14.38,0.0018
67,9,16.14,0.0017
67,10,17.87,0.0024
67,11,19.5,0.0036
67,12,21.05,0.0044
67,13,22.43,0.0048
67,14,23.73,0.0056
67,15,24.9,0.0059
67,16,25.91,0.0064
67,17,26.75,0.0061
